investment_code,CODIGO_UNICO,NUM_ANIO,COD_MES,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,SEC_EJEC,DES_UEP
2088996,2088996,2009,10,132174.3,0,0,0.0,132174.3,1102,REGION ANCASH-SUBREGION PACIFICO
2088996,2088996,2009,11,10500.0,0,0,0.0,10500.0,726,REGION ANCASH SEDE CENTRAL
2088996,2088996,2009,0,0.0,10500,0,0.0,0.0,726,REGION ANCASH SEDE CENTRAL
2088996,2088996,2009,0,0.0,289175,0,0.0,0.0,1102,REGION ANCASH-SUBREGION PACIFICO
2687722,2687722,2025,5,0.0,0,0,22000.0,22000.0,301368,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA
2687722,2687722,2025,6,22000.0,0,0,0.0,0.0,301368,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA
2687722,2687722,2025,11,0.0,0,0,150516.08,20850.0,301368,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA
2687722,2687722,2025,12,148476.13,0,0,0.0,127626.13,301368,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA
2687722,2687722,2025,0,0.0,172518,0,0.0,0.0,301368,MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUNA
2199701,2199701,2014,9,32431.8,0,0,32431.8,32431.8,301733,MUNICIPALIDAD DISTRITAL DE TABALOSOS
2199701,2199701,2014,10,35109.0,0,0,35109.0,35109.0,301733,MUNICIPALIDAD DISTRITAL DE TABALOSOS
2199701,2199701,2014,0,0.0,67541,0,0.0,0.0,301733,MUNICIPALIDAD DISTRITAL DE TABALOSOS
2352536,2352536,2018,6,0.0,0,0,18850.0,0.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2018,12,0.0,0,0,0.0,18850.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2018,0,0.0,18850,0,0.0,0.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2019,2,0.0,0,0,14478.04,0.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2019,5,0.0,0,0,4371.96,0.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2019,8,0.0,0,0,0.0,18850.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2019,10,18850.0,0,0,360894.15,0.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2019,11,0.0,0,0,14200.0,0.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2019,0,0.0,393945,0,0.0,0.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
