investment_code,CODIGO_UNICO,NUM_ANIO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,SEC_EJEC,DES_UEP,COD_FUENTE_FINANC,DES_FUENTE_FINANC
2620991,2620991,2024,1136199.42,1137887,0,1137882.15,1136199.42,300784,MUNICIPALIDAD DISTRITAL DE QUIQUIJANA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2620991,2620991,2025,1146648.16,1284567,600000,1284565.16,1277565.16,300784,MUNICIPALIDAD DISTRITAL DE QUIQUIJANA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2620991,2620991,2026,340289.26,500000,500000,462763.02,367663.08,300784,MUNICIPALIDAD DISTRITAL DE QUIQUIJANA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2159511,2159511,2012,52070.0,75900,0,52070.0,52070.0,300533,MUNICIPALIDAD DISTRITAL DE CANARIA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2159511,2159511,2015,0.0,338090,0,338090.0,338090.0,1296,PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL - AGRORURAL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2159511,2159511,2016,338090.0,338090,0,338090.0,338090.0,1296,PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL - AGRORURAL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2529045,2529045,2021,32189.25,40371,0,40370.47,32189.25,301267,MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA),07,FONDO DE COMPENSACION MUNICIPAL
2529045,2529045,2021,97076.03,127478,0,127477.61,97076.03,301267,MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA),18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2529045,2529045,2022,79529.16,79530,0,79529.16,79529.16,301267,MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA),07,FONDO DE COMPENSACION MUNICIPAL
2055268,2055268,2007,0.0,13650,0,0.0,0.0,301209,MUNICIPALIDAD PROVINCIAL DE VIRU,07,FONDO DE COMPENSACION MUNICIPAL
2055268,2055268,2007,38854.02,41250,0,0.0,38854.02,301209,MUNICIPALIDAD PROVINCIAL DE VIRU,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2055268,2055268,2008,154154.44,154159,0,0.0,154154.44,301209,MUNICIPALIDAD PROVINCIAL DE VIRU,07,FONDO DE COMPENSACION MUNICIPAL
2055268,2055268,2008,16747.96,16750,0,0.0,16747.96,301209,MUNICIPALIDAD PROVINCIAL DE VIRU,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2055268,2055268,2009,2714.32,7453,0,0.0,2714.32,301209,MUNICIPALIDAD PROVINCIAL DE VIRU,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2282737,2282737,2015,179091.45,197213,0,197212.72,197212.72,300983,MUNICIPALIDAD DISTRITAL DE SUNAMPE,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2282737,2282737,2016,18121.27,18122,0,18121.27,18121.27,300983,MUNICIPALIDAD DISTRITAL DE SUNAMPE,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2114952,2114952,2010,337382.29,337848,0,0.0,337382.29,300471,MUNICIPALIDAD PROVINCIAL DE LA MAR - SAN MIGUEL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2114952,2114952,2011,395746.06,400465,300000,0.0,395746.06,300471,MUNICIPALIDAD PROVINCIAL DE LA MAR - SAN MIGUEL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2114952,2114952,2012,4186.08,4719,0,4186.08,4186.08,300471,MUNICIPALIDAD PROVINCIAL DE LA MAR - SAN MIGUEL,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2651324,2651324,2025,0.0,190000,0,190000.0,190000.0,301323,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO,08,IMPUESTOS MUNICIPALES
2651324,2651324,2025,0.0,220000,0,220000.0,220000.0,301323,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2651324,2651324,2026,41000.0,410000,0,410000.0,410000.0,301323,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2553787,2553787,2022,14000.0,14000,0,14000.0,14000.0,301274,MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA,07,FONDO DE COMPENSACION MUNICIPAL
2553787,2553787,2023,667687.05,674446,0,674445.52,667687.05,301274,MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA,07,FONDO DE COMPENSACION MUNICIPAL
2553787,2553787,2024,4200.0,4200,0,4200.0,4200.0,301274,MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA,08,IMPUESTOS MUNICIPALES
2553787,2553787,2025,18875.73,18876,0,18875.73,18875.73,301274,MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA,07,FONDO DE COMPENSACION MUNICIPAL
2199410,2199410,2014,33190.0,34000,0,34000.0,33190.0,301178,MUNICIPALIDAD DISTRITAL DE CHILLIA,09,RECURSOS DIRECTAMENTE RECAUDADOS
2199410,2199410,2014,355744.0,355744,0,355744.0,355744.0,301178,MUNICIPALIDAD DISTRITAL DE CHILLIA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2199410,2199410,2016,9000.0,18000,0,9000.0,9000.0,301178,MUNICIPALIDAD DISTRITAL DE CHILLIA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2640959,2640959,2024,30000.0,30000,0,30000.0,30000.0,300617,MUNICIPALIDAD DISTRITAL DE SANTO TOMAS,19,RECURSOS POR OPERACIONES OFICIALES DE CREDITO
2377643,2377643,2017,313934.66,313935,0,313934.66,313934.66,300139,MUNICIPALIDAD PROVINCIAL DE CASMA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2377643,2377643,2019,17800.0,17800,0,17800.0,17800.0,300139,MUNICIPALIDAD PROVINCIAL DE CASMA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
2377643,2377643,2020,171587.25,531485,0,531484.97,531484.97,300139,MUNICIPALIDAD PROVINCIAL DE CASMA,18,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES"
