investment_code,COD_UNICO,DES_TIPO,COD_MES,PERIODO,MTO_ACT,FEC_PFA
2309952,2309952,ACTUALIZADO,7,2026-07,0.0,2026-01-28 21:16:03
2309952,2309952,ACTUALIZADO,1,2026-01,1565194.5,2026-01-28 21:16:03
2309952,2309952,ACTUALIZADO,2,2026-02,1587194.5,2026-01-28 21:16:03
2309952,2309952,ACTUALIZADO,3,2026-03,0.0,2026-01-28 21:16:03
2309952,2309952,ACTUALIZADO,6,2026-06,0.0,2026-01-28 21:16:03
2309952,2309952,ACTUALIZADO,12,2026-12,0.0,2026-01-28 21:16:03
2309952,2309952,ACTUALIZADO,8,2026-08,0.0,2026-01-28 21:16:03
2309952,2309952,ACTUALIZADO,10,2026-10,0.0,2026-01-28 21:16:03
2642432,2642432,ACTUALIZADO,3,2026-03,0.0,2026-01-16 04:19:26
2642432,2642432,ACTUALIZADO,4,2026-04,0.0,2026-01-16 04:19:26
2642432,2642432,ACTUALIZADO,9,2026-09,0.0,2026-01-16 04:19:26
2642432,2642432,ACTUALIZADO,1,2026-01,22487.4,2026-01-16 04:19:26
2642432,2642432,ACTUALIZADO,11,2026-11,0.0,2026-01-16 04:19:26
2642432,2642432,ACTUALIZADO,2,2026-02,0.0,2026-01-16 04:19:26
2642432,2642432,ACTUALIZADO,8,2026-08,0.0,2026-01-16 04:19:26
2642432,2642432,ACTUALIZADO,10,2026-10,0.0,2026-01-16 04:19:26
2642432,2642432,ACTUALIZADO,12,2026-12,0.0,2026-01-16 04:19:26
2642432,2642432,ACTUALIZADO,6,2026-06,0.0,2026-01-16 04:19:26
2642432,2642432,ACTUALIZADO,7,2026-07,0.0,2026-01-16 04:19:26
2642432,2642432,ACTUALIZADO,5,2026-05,0.0,2026-01-16 04:19:26
2131115,2131115,ACTUALIZADO,10,2026-10,0.0,2026-03-18 16:02:51
2131115,2131115,ACTUALIZADO,12,2026-12,0.0,2026-03-18 16:02:51
2131115,2131115,ACTUALIZADO,11,2026-11,0.0,2026-03-18 16:02:51
2131115,2131115,ACTUALIZADO,6,2026-06,0.0,2026-03-18 16:02:51
2131115,2131115,ACTUALIZADO,7,2026-07,0.0,2026-03-18 16:02:51
2131115,2131115,ACTUALIZADO,8,2026-08,0.0,2026-03-18 16:02:51
2131115,2131115,ACTUALIZADO,9,2026-09,0.0,2026-03-18 16:02:51
2131115,2131115,ACTUALIZADO,3,2026-03,4828.91,2026-03-18 16:02:51
2131115,2131115,ACTUALIZADO,5,2026-05,77462.44,2026-03-18 16:02:51
2131115,2131115,ACTUALIZADO,1,2026-01,0.0,2026-03-18 16:02:51
2131115,2131115,ACTUALIZADO,2,2026-02,0.0,2026-03-18 16:02:51
2131115,2131115,ACTUALIZADO,4,2026-04,0.0,2026-03-18 16:02:51
2320661,2320661,ACTUALIZADO,2,2026-02,0.0,2026-02-25 21:50:05
2320661,2320661,ACTUALIZADO,11,2026-11,0.0,2026-02-25 21:50:05
2320661,2320661,ACTUALIZADO,6,2026-06,0.0,2026-02-25 21:50:05
2320661,2320661,ACTUALIZADO,8,2026-08,0.0,2026-02-25 21:50:05
2320661,2320661,ACTUALIZADO,3,2026-03,0.0,2026-02-25 21:50:05
2320661,2320661,ACTUALIZADO,5,2026-05,0.0,2026-02-25 21:50:05
2320661,2320661,ACTUALIZADO,4,2026-04,0.0,2026-02-25 21:50:05
2320661,2320661,ACTUALIZADO,7,2026-07,0.0,2026-02-25 21:50:05
2320661,2320661,ACTUALIZADO,9,2026-09,0.0,2026-02-25 21:50:05
2320661,2320661,ACTUALIZADO,12,2026-12,0.0,2026-02-25 21:50:05
2320661,2320661,ACTUALIZADO,10,2026-10,0.0,2026-02-25 21:50:05
2320661,2320661,ACTUALIZADO,1,2026-01,0.0,2026-02-25 21:50:05
2697718,2697718,ACTUALIZADO,7,2026-07,0.0,2026-03-05 00:19:14
2697718,2697718,ACTUALIZADO,12,2026-12,0.0,2026-03-05 00:19:14
2697718,2697718,ACTUALIZADO,2,2026-02,0.0,2026-03-05 00:19:14
2697718,2697718,ACTUALIZADO,8,2026-08,0.0,2026-03-05 00:19:14
2697718,2697718,ACTUALIZADO,4,2026-04,0.0,2026-03-05 00:19:14
2697718,2697718,ACTUALIZADO,10,2026-10,0.0,2026-03-05 00:19:14
2697718,2697718,ACTUALIZADO,11,2026-11,0.0,2026-03-05 00:19:14
2697718,2697718,ACTUALIZADO,5,2026-05,0.0,2026-03-05 00:19:14
2697718,2697718,ACTUALIZADO,6,2026-06,0.0,2026-03-05 00:19:14
2697718,2697718,ACTUALIZADO,9,2026-09,0.0,2026-03-05 00:19:14
2697718,2697718,ACTUALIZADO,1,2026-01,0.0,2026-03-05 00:19:14
