investment_code,COD_UNICO,DES_TIPO,COD_MES,PERIODO,MTO_ACT
2645720,2645720,PROGRAMADO,5,2026-05,0.0
2645720,2645720,PROGRAMADO,2,2026-02,52520.0
2645720,2645720,PROGRAMADO,11,2026-11,0.0
2502134,2502134,PROGRAMADO,3,2026-03,0.0
2502134,2502134,PROGRAMADO,9,2026-09,0.0
2502134,2502134,PROGRAMADO,11,2026-11,8915000.0
2502134,2502134,PROGRAMADO,4,2026-04,0.0
2502134,2502134,PROGRAMADO,5,2026-05,5000000.0
2502134,2502134,PROGRAMADO,12,2026-12,0.0
2502134,2502134,PROGRAMADO,2,2026-02,0.0
2502134,2502134,PROGRAMADO,6,2026-06,0.0
2502134,2502134,PROGRAMADO,7,2026-07,0.0
2502134,2502134,PROGRAMADO,10,2026-10,0.0
2502134,2502134,PROGRAMADO,1,2026-01,0.0
2502134,2502134,PROGRAMADO,8,2026-08,7560000.0
2703429,2703429,PROGRAMADO,1,2026-01,0.0
2703429,2703429,PROGRAMADO,2,2026-02,0.0
2703429,2703429,PROGRAMADO,7,2026-07,0.0
2703429,2703429,PROGRAMADO,11,2026-11,0.0
2703429,2703429,PROGRAMADO,8,2026-08,0.0
2703429,2703429,PROGRAMADO,12,2026-12,0.0
2703429,2703429,PROGRAMADO,5,2026-05,0.0
2703429,2703429,PROGRAMADO,6,2026-06,0.0
2703429,2703429,PROGRAMADO,3,2026-03,0.0
2703429,2703429,PROGRAMADO,4,2026-04,0.0
2703429,2703429,PROGRAMADO,9,2026-09,0.0
2703429,2703429,PROGRAMADO,10,2026-10,0.0
2716925,2716925,PROGRAMADO,1,2026-01,0.0
2716925,2716925,PROGRAMADO,2,2026-02,0.0
2716925,2716925,PROGRAMADO,6,2026-06,43000.0
2716925,2716925,PROGRAMADO,8,2026-08,0.0
2716925,2716925,PROGRAMADO,10,2026-10,0.0
2716925,2716925,PROGRAMADO,4,2026-04,0.0
2716925,2716925,PROGRAMADO,9,2026-09,0.0
2716925,2716925,PROGRAMADO,3,2026-03,0.0
2716925,2716925,PROGRAMADO,7,2026-07,0.0
2716925,2716925,PROGRAMADO,5,2026-05,0.0
2716925,2716925,PROGRAMADO,11,2026-11,0.0
2716925,2716925,PROGRAMADO,12,2026-12,0.0
2569808,2569808,PROGRAMADO,1,2026-01,18995.0
2569808,2569808,PROGRAMADO,7,2026-07,0.0
2569808,2569808,PROGRAMADO,2,2026-02,50000.0
2569808,2569808,PROGRAMADO,3,2026-03,100000.0
2569808,2569808,PROGRAMADO,9,2026-09,0.0
2569808,2569808,PROGRAMADO,12,2026-12,0.0
2569808,2569808,PROGRAMADO,4,2026-04,81005.0
2569808,2569808,PROGRAMADO,6,2026-06,0.0
2569808,2569808,PROGRAMADO,8,2026-08,0.0
2569808,2569808,PROGRAMADO,10,2026-10,0.0
2569808,2569808,PROGRAMADO,11,2026-11,0.0
2569808,2569808,PROGRAMADO,5,2026-05,0.0
2701241,2701241,PROGRAMADO,11,2026-11,0.0
2701241,2701241,PROGRAMADO,7,2026-07,0.0
2701241,2701241,PROGRAMADO,2,2026-02,0.0
2701241,2701241,PROGRAMADO,5,2026-05,0.0
2701241,2701241,PROGRAMADO,1,2026-01,0.0
2701241,2701241,PROGRAMADO,8,2026-08,0.0
2701241,2701241,PROGRAMADO,6,2026-06,0.0
2701241,2701241,PROGRAMADO,4,2026-04,0.0
2701241,2701241,PROGRAMADO,12,2026-12,0.0
2701241,2701241,PROGRAMADO,3,2026-03,0.0
2701241,2701241,PROGRAMADO,9,2026-09,0.0
