investment_code,CODIGO_UNICO,NUM_ANIO,COD_MES,MTO_DEVEN,MTO_CERT,MTO_COMPROM
2520366,2520366,2023,6,161829.4,2783876.0,158581.1
2520366,2520366,2023,7,232245.23,50373.0,416310.15
2520366,2520366,2023,8,239173.83,-174368.0,571421.89
2520366,2520366,2023,9,355464.68,0.0,372392.7
2520366,2520366,2023,10,310069.72,0.0,467662.12
2520366,2520366,2023,11,323340.22,-350000.0,199240.56
2520366,2520366,2023,12,605223.76,-86994.37,299861.22
2520366,2520366,2024,2,156110.12,58395.25,175370.39
2520366,2520366,2024,3,137875.89,237071.99,337439.78
2520366,2520366,2024,4,166959.91,167275.3,253146.34
2520366,2520366,2024,5,209731.44,162143.37,173879.65
2520366,2520366,2024,6,180727.74,359860.0,239063.62
2520366,2520366,2024,7,174581.7,66745.03,138006.2
2520366,2520366,2024,8,100074.42,-762.0,64774.65
2520366,2520366,2024,9,84888.41,25392.57,42969.98
2520366,2520366,2024,10,131540.86,244508.0,82330.47
2520366,2520366,2024,11,38691.98,27484.0,52068.39
2520366,2520366,2024,12,267821.72,-4191.0,120094.23
2520366,2520366,2025,3,121035.54,328070.0,360870.0
2520366,2520366,2025,4,169657.18,366322.07,260788.07
2520366,2520366,2025,5,226233.58,159580.0,175014.76
2520366,2520366,2025,6,153682.72,92854.03,162992.69
2520366,2520366,2025,7,350877.35,191007.69,201925.81
2520366,2520366,2025,8,223320.42,144247.34,149247.34
2520366,2520366,2025,9,113993.59,216125.0,193063.0
2520366,2520366,2025,10,173031.12,146852.53,169481.53
2520366,2520366,2025,11,141212.0,323540.6,284761.5
2520366,2520366,2025,12,492242.49,217912.54,256911.68
2520366,2520366,2026,2,24313.21,125585.0,236585.0
2520366,2520366,2026,3,93481.83,11300.0,90300.0
2292641,2292641,2017,12,160519.37,0.0,175054.63
2292641,2292641,2018,3,21550.43,0.0,0.0
2292641,2292641,2018,5,984.8,0.0,0.0
2468986,2468986,2022,12,245847.3,-2.01,309950.0
2421180,2421180,2018,5,18000.0,18000.0,18000.0
2421180,2421180,2018,9,148286.8,0.0,148286.8
2421180,2421180,2018,10,40093.2,0.0,40093.2
2421180,2421180,2018,11,2220.0,0.0,2220.0
2244494,2244494,2015,5,11200.0,408880.18,11200.0
2244494,2244494,2015,9,193934.17,0.0,0.0
2244494,2244494,2015,10,174778.0,0.0,0.0
2466120,2466120,2020,2,41602.0,0.0,18520.0
2466120,2466120,2020,4,18270.0,0.0,18270.0
2466120,2466120,2020,5,9200.0,0.0,9200.0
2466120,2466120,2020,7,12850.0,12850.0,12850.0
2466120,2466120,2020,12,-2300.0,-44801.0,0.0
2466120,2466120,2022,9,32200.0,-8318.0,17800.0
2466120,2466120,2022,10,30982.1,50106.0,41341.8
2466120,2466120,2022,11,93493.12,14677.8,77263.42
2466120,2466120,2022,12,18830.0,6900.0,6900.0
2099747,2099747,2010,6,260686.41,0.0,260686.41
2099747,2099747,2010,7,209211.62,0.0,209211.62
2099747,2099747,2010,8,267640.19,0.0,267640.19
2099747,2099747,2010,9,128883.18,0.0,128883.18
2099747,2099747,2010,11,44154.95,0.0,44154.95
2099747,2099747,2010,12,111965.34,0.0,111965.34
2324520,2324520,2018,8,31500.0,31500.0,31500.0
2324520,2324520,2019,8,8360.76,8360.76,8360.76
2324520,2324520,2020,12,179926.0,-25854.75,577668.0
2324520,2324520,2021,2,284623.78,486437.49,477901.93
2324520,2324520,2021,3,192528.14,0.0,192528.14
2324520,2324520,2021,8,26382.27,17096.71,25632.27
2596184,2596184,2025,12,17640.0,0.0,88200.0
2154473,2154473,2012,9,20938.75,30938.75,20938.75
2154473,2154473,2012,11,1941.0,-8059.0,1941.0
2037353,2037353,2007,3,2625.0,0.0,2625.0
2037353,2037353,2007,5,875.0,0.0,875.0
2338438,2338438,2023,12,39000.0,39000.0,39000.0
2338438,2338438,2024,10,55922.4,-5000.0,55922.4
2309952,2309952,2017,2,85387.5,4788054.0,85388.0
2309952,2309952,2017,3,1848868.43,0.0,1848868.43
2309952,2309952,2017,6,1848868.43,0.0,1848868.43
2309952,2309952,2017,8,1211430.45,1211430.45,1211430.45
2309952,2309952,2017,9,395063.69,425000.0,420063.69
2309952,2309952,2017,10,1901970.59,1795158.09,1889770.59
2309952,2309952,2017,11,1177308.67,1229254.0,1177308.67
2309952,2309952,2017,12,55466.66,0.0,962262.47
2309952,2309952,2018,1,15166.67,786983.67,15166.67
2309952,2309952,2018,2,126468.49,139468.49,143968.49
2309952,2309952,2018,3,26697.82,17000.0,16697.82
2309952,2309952,2018,4,33884.6,26384.6,26384.6
2309952,2309952,2018,6,6500.0,6500.0,6500.0
2309952,2309952,2018,7,718245.01,0.0,1706491.0
2309952,2309952,2018,8,1424898.27,-0.93,436652.28
2309952,2309952,2018,10,120000.0,120000.0,120000.0
2309952,2309952,2018,11,39142.88,0.0,39142.88
2309952,2309952,2018,12,-48202.58,27750.6,195247.72
2309952,2309952,2022,12,167567.83,0.0,11022849.48
2309952,2309952,2023,10,19778.28,69602.65,43556.55
2309952,2309952,2023,11,26046.1,0.0,26046.1
2309952,2309952,2025,3,3838763.4,7805024.27,8117829.0
2309952,2309952,2025,4,1076468.96,0.0,1076468.96
2309952,2309952,2025,5,1156257.01,0.0,1156257.01
2309952,2309952,2025,6,1808030.02,0.0,1808030.02
2309952,2309952,2025,7,33941.9,0.0,33941.9
2309952,2309952,2025,8,32847.0,0.0,32847.0
2309952,2309952,2025,10,89703.18,0.0,-48970.53
2309952,2309952,2025,11,32847.0,0.0,32847.0
2309952,2309952,2025,12,507786.53,458816.0,507786.53
2309952,2309952,2026,2,717138.29,3611203.0,2839584.91
2309952,2309952,2026,3,43796.0,0.0,123890.68
2309952,2309952,2026,4,43796.0,0.0,0.0
2684431,2684431,2025,3,6000.0,6000.0,6000.0
2323343,2323343,2016,12,31500.0,31500.0,31500.0
2642432,2642432,2024,8,35000.0,0.0,35000.0
2642432,2642432,2024,12,636166.18,0.0,822510.42
2642432,2642432,2025,5,173970.24,173970.41,173970.41
2642432,2642432,2026,1,10113.23,10113.23,10113.23
2131115,2131115,2011,1,153587.0,0.0,153587.0
2131115,2131115,2011,4,50870.0,0.0,0.0
2131115,2131115,2011,6,102717.0,0.0,0.0
2131115,2131115,2011,12,125096.38,0.0,0.0
2131115,2131115,2012,10,250192.76,0.0,0.0
2131115,2131115,2013,7,125096.36,125097.0,125096.36
2131115,2131115,2014,2,59695.02,59695.02,59695.02
2131115,2131115,2014,12,2256739.3,-895425.8,2256740.0
2131115,2131115,2015,1,1130233.24,9026957.0,8210957.0
2131115,2131115,2015,2,356196.82,-2070084.0,-2070084.0
2131115,2131115,2015,3,162877.16,2632330.5,162245.64
2131115,2131115,2015,4,531108.09,0.0,2470084.5
2131115,2131115,2015,5,1762818.08,0.0,1688588.47
2131115,2131115,2015,6,919814.73,-251882.0,-8777.0
2131115,2131115,2015,7,874574.65,251882.0,572895.0
2131115,2131115,2015,8,534165.69,17957.86,194979.75
2131115,2131115,2015,9,446080.91,-2537525.65,-2537525.65
2131115,2131115,2015,10,332389.13,2045011.0,1955011.0
