investment_code,CODIGO_UNICO,NUM_ANIO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,SEC_EJEC,DES_UEP
2459491,2459491,2024,1179.98,2340,0,1179.98,1179.98,301513,MUNICIPALIDAD DISTRITAL DE YANACANCHA
2459491,2459491,2025,0.0,13000,0,13000.0,13000.0,301513,MUNICIPALIDAD DISTRITAL DE YANACANCHA
2052711,2052711,2007,500.0,50000,0,0.0,500.0,301261,MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA
2052711,2052711,2008,0.0,49500,0,0.0,0.0,301261,MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA
2599360,2599360,2026,0.0,1239340,1239340,0.0,0.0,300645,MUNICIPALIDAD DISTRITAL DE GREGORIO PITA
2458392,2458392,2021,34000.0,34000,0,34000.0,34000.0,300743,MUNICIPALIDAD DISTRITAL DE OCORURO
2458392,2458392,2022,1499011.86,1759070,0,1722580.48,1589995.71,789,REGION CUSCO-SEDE CENTRAL
2458392,2458392,2022,40515.0,52000,0,52000.0,40515.0,300743,MUNICIPALIDAD DISTRITAL DE OCORURO
2458392,2458392,2023,3471193.69,3819042,2704884,3803179.04,3639943.44,789,REGION CUSCO-SEDE CENTRAL
2458392,2458392,2023,776460.64,820000,0,776460.64,776460.64,300743,MUNICIPALIDAD DISTRITAL DE OCORURO
2458392,2458392,2024,2627256.32,2643267,940413,2640811.22,2636779.32,789,REGION CUSCO-SEDE CENTRAL
2458392,2458392,2024,587817.9,587818,0,587817.9,587817.9,300743,MUNICIPALIDAD DISTRITAL DE OCORURO
2458392,2458392,2025,68862.82,81685,52505,79623.0,78542.73,789,REGION CUSCO-SEDE CENTRAL
2409063,2409063,2018,15200.0,16000,0,16000.0,15200.0,301040,MUNICIPALIDAD DISTRITAL DE MATAHUASI
2642511,2642511,2024,28000.0,56000,0,28000.0,28000.0,300140,MUNICIPALIDAD DISTRITAL DE BUENA VISTA ALTA
2642511,2642511,2025,0.0,0,272570,0.0,0.0,300140,MUNICIPALIDAD DISTRITAL DE BUENA VISTA ALTA
2642511,2642511,2026,0.0,962337,0,0.0,0.0,300140,MUNICIPALIDAD DISTRITAL DE BUENA VISTA ALTA
2341212,2341212,2018,31600.0,31600,0,31600.0,31600.0,300724,MUNICIPALIDAD PROVINCIAL DE CANCHIS - SICUANI
2341212,2341212,2021,334095.56,350000,0,345999.95,335499.27,300724,MUNICIPALIDAD PROVINCIAL DE CANCHIS - SICUANI
2341212,2341212,2022,1338955.31,1508839,300000,1396551.88,1382971.88,300724,MUNICIPALIDAD PROVINCIAL DE CANCHIS - SICUANI
2341212,2341212,2023,23435.29,31577,0,27505.29,23435.29,300724,MUNICIPALIDAD PROVINCIAL DE CANCHIS - SICUANI
2112606,2112606,2013,1380434.13,1504547,0,1380434.13,1380434.13,861,REGION LORETO-SEDE CENTRAL
2112606,2112606,2014,4181254.81,4693595,2443708,4181254.81,4181254.81,861,REGION LORETO-SEDE CENTRAL
2112606,2112606,2015,840845.07,840846,701538,840845.07,840845.07,861,REGION LORETO-SEDE CENTRAL
2112606,2112606,2016,0.0,652998,0,652998.0,0.0,861,REGION LORETO-SEDE CENTRAL
2112606,2112606,2017,146987.48,146988,0,146987.48,146987.48,861,REGION LORETO-SEDE CENTRAL
2112606,2112606,2020,211026.74,211027,0,211026.74,211026.74,861,REGION LORETO-SEDE CENTRAL
2456775,2456775,2019,216428.09,241000,0,225171.0,219528.09,301625,MUNICIPALIDAD DISTRITAL DE AYAPATA
2456775,2456775,2020,135346.9,153855,0,153853.9,153392.9,301625,MUNICIPALIDAD DISTRITAL DE AYAPATA
2456775,2456775,2021,44071.0,60964,10000,44071.0,44071.0,301625,MUNICIPALIDAD DISTRITAL DE AYAPATA
2090825,2090825,2009,18500.0,2234384,0,0.0,18500.0,921,REGION SAN MARTIN-SEDE CENTRAL
2090825,2090825,2009,729000.0,729000,0,0.0,729000.0,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2010,0.0,7994,10000000,0.0,0.0,921,REGION SAN MARTIN-SEDE CENTRAL
2090825,2090825,2010,1224457.37,2202711,0,0.0,1224457.37,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2011,938841.71,11847376,30000000,0.0,938841.71,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2012,45410915.78,45410923,20000000,45410915.78,45410915.78,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2013,31132429.18,31494512,44361700,31132429.18,31132429.18,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2014,19157552.49,19178494,17288934,19157552.49,19157552.49,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2015,1789341.19,3320891,0,1793901.19,1789341.19,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2016,0.0,0,18659726,0.0,0.0,921,REGION SAN MARTIN-SEDE CENTRAL
2090825,2090825,2016,14997627.54,17424817,35787081,15424816.18,14997627.54,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2017,8590163.57,9781840,0,9780670.14,8628817.1,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2018,9415885.93,25539352,0,25539352.0,15972209.61,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2019,12437909.54,16063103,0,15749238.16,12721919.44,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2020,3730177.71,4616541,0,4605754.15,4359047.79,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2021,1254459.69,1254977,0,1254459.69,1254459.69,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2022,164137.77,164318,0,164137.77,164137.77,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2023,335650.28,384457,2412493,335650.28,335650.28,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2024,275203.4,278892,0,275260.02,275203.4,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2090825,2090825,2025,425433.72,425434,0,425433.79,425433.79,1140,REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO
2480406,2480406,2020,0.0,5000,0,5000.0,5000.0,300757,MUNICIPALIDAD DISTRITAL DE PICHARI
2480406,2480406,2021,25795.0,25795,0,25795.0,25795.0,300757,MUNICIPALIDAD DISTRITAL DE PICHARI
2480406,2480406,2022,466375.89,777092,0,531651.79,531651.79,300757,MUNICIPALIDAD DISTRITAL DE PICHARI
2480406,2480406,2023,575432.54,575760,0,575473.05,575473.05,300757,MUNICIPALIDAD DISTRITAL DE PICHARI
2308370,2308370,2017,41686.8,41687,20000,41686.8,41686.8,301640,MUNICIPALIDAD PROVINCIAL EL COLLAO - ILAVE
2524861,2524861,2021,34000.0,34000,0,34000.0,34000.0,301110,MUNICIPALIDAD DISTRITAL DE HUAY - HUAY
2469861,2469861,2019,32500.0,32500,0,32500.0,32500.0,301154,MUNICIPALIDAD PROVINCIAL DE CHEPEN
2527434,2527434,2021,2000.0,82000,0,8000.0,2000.0,301683,MUNICIPALIDAD DISTRITAL DE CABANILLAS
2527434,2527434,2022,93666.6,106182,0,96800.97,93666.6,301683,MUNICIPALIDAD DISTRITAL DE CABANILLAS
2651902,2651902,2026,0.0,2947937,0,2947936.04,0.0,301422,MUNICIPALIDAD PROVINCIAL DE MAYNAS - IQUITOS
2178273,2178273,2013,100528.19,104917,0,100528.19,100528.19,300682,MUNICIPALIDAD DISTRITAL DE VENTANILLA
2215725,2215725,2012,0.0,6902672,0,0.0,0.0,300912,MUNICIPALIDAD PROVINCIAL DE HUACAYBAMBA
2215725,2215725,2013,6875287.92,6902672,0,6902672.0,6902671.97,300912,MUNICIPALIDAD PROVINCIAL DE HUACAYBAMBA
2215725,2215725,2014,0.0,12500,0,0.0,0.0,300912,MUNICIPALIDAD PROVINCIAL DE HUACAYBAMBA
2215725,2215725,2018,27384.13,28000,0,27384.13,27384.13,300912,MUNICIPALIDAD PROVINCIAL DE HUACAYBAMBA
2525243,2525243,2021,38260.0,38260,0,38260.0,38260.0,300143,MUNICIPALIDAD PROVINCIAL DE CORONGO
2444878,2444878,2020,21870.0,60000,0,60000.0,21870.0,301596,MUNICIPALIDAD DISTRITAL DE ATUNCOLLA
2444878,2444878,2021,0.0,0,95426,0.0,0.0,301596,MUNICIPALIDAD DISTRITAL DE ATUNCOLLA
2142749,2142749,2012,1099120.19,1116779,0,1099120.19,1099120.19,301128,MUNICIPALIDAD DISTRITAL DE EL PORVENIR
2108138,2108138,2009,22164.75,30000,0,0.0,22164.75,301233,MUNICIPALIDAD DISTRITAL DE KAÑARIS
2108138,2108138,2010,18391.58,23963,0,0.0,18391.58,301233,MUNICIPALIDAD DISTRITAL DE KAÑARIS
2504112,2504112,2021,15000.0,30000,0,15000.0,15000.0,300564,MUNICIPALIDAD DISTRITAL DE CONDEBAMBA
2504112,2504112,2024,0.0,15000,0,15000.0,15000.0,300564,MUNICIPALIDAD DISTRITAL DE CONDEBAMBA
2708317,2708317,2025,193896.17,200688,0,200688.0,194996.17,300241,MUNICIPALIDAD DISTRITAL DE SAN JUAN
2437952,2437952,2019,59800.0,65000,0,59800.0,59800.0,891,REGION PASCO-SALUD UTES OXAPAMPA
2573276,2573276,2024,41000.0,41000,0,41000.0,41000.0,1052,REGION ICA-HOSPITAL REGIONAL DE ICA
