investment_code,CODIGO_UNICO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_GIRADO,DEV_ANIO1,PER_PRIM_DEVENG,PER_ULT_DEVENG
2698600,2698600,104078.8,0,0,104078.8,0.0,202511,202512
2145926,2145926,107237.84,0,0,107237.84,0.0,201109,201112
2122687,2122687,322612.35,0,0,322612.35,0.0,201208,201412
2625576,2625576,10000.0,0,0,10000.0,0.0,202312,202312
2520687,2520687,651993.19,0,0,651993.19,0.0,202107,202112
2151301,2151301,438500.0,0,0,438500.0,0.0,201212,201312
2047238,2047238,58181.11,0,0,58181.11,0.0,200805,201112
2308975,2308975,452093.65,0,0,452093.65,0.0,201611,201812
2468430,2468430,225374.09,0,0,225374.09,0.0,201911,202007
2531198,2531198,24000.0,0,0,24000.0,0.0,202208,202208
2197670,2197670,28787.66,0,0,26287.66,0.0,201408,201411
2338256,2338256,102000.0,0,0,102000.0,0.0,201904,201908
2562779,2562779,84356.0,0,0,84356.0,0.0,202212,202212
2494818,2494818,20000.0,0,0,20000.0,0.0,202103,202504
2076673,2076673,658986.78,2500,0,656486.78,2500.0,201202,202604
2438348,2438348,21900.0,0,0,21900.0,0.0,201909,201909
2287608,2287608,620334.85,0,0,620334.85,0.0,201512,201512
2526438,2526438,349569.31,0,0,349569.31,0.0,202110,202311
2611786,2611786,420947.76,0,0,420947.76,0.0,202311,202312
2589727,2589727,818971.67,95000,30000,818891.67,0.0,202312,202511
2632679,2632679,0.0,0,0,0.0,0.0,,
2154417,2154417,31638.5,0,0,31638.5,0.0,201206,201312
2603415,2603415,132686.77,0,0,108802.29,0.0,202411,202512
2607046,2607046,15000.0,0,0,15000.0,0.0,202311,202311
2487171,2487171,11815616.47,0,0,11815616.47,0.0,202005,202402
2035044,2035044,2250.0,0,0,2250.0,0.0,200910,200910
2664599,2664599,40000.0,0,0,40000.0,0.0,202412,202412
2046711,2046711,1085499.24,0,0,1085499.24,0.0,200808,200907
2551907,2551907,4400.0,0,0,4400.0,0.0,202209,202209
2111829,2111829,312401.65,0,0,312401.65,0.0,201301,201412
2586825,2586825,3154990.9,476582,476582,3148847.93,59860.0,202306,202603
2353007,2353007,314042.28,0,0,314042.28,0.0,201707,201711
2493215,2493215,105580.3,0,0,105580.3,0.0,202311,202512
2161509,2161509,330171.29,0,0,330171.29,0.0,201309,201712
2576215,2576215,0.0,0,0,0.0,0.0,,
2108868,2108868,47232.6,0,0,46432.6,0.0,200912,201012
2315489,2315489,115875.6,0,0,115875.6,0.0,201606,201712
2324087,2324087,16750.0,0,0,16750.0,0.0,201912,202012
2420399,2420399,8000.0,0,0,8000.0,0.0,201809,201810
2687769,2687769,42000.0,513135,0,42000.0,0.0,202512,202512
2145613,2145613,556466.86,0,0,556466.86,0.0,201110,201310
2606568,2606568,0.0,0,0,0.0,0.0,,
2656973,2656973,519969.02,2228832,0,0.0,519969.02,202603,202603
2593697,2593697,78930.15,0,0,78930.15,0.0,202306,202310
2190234,2190234,768023.2,0,0,768023.2,0.0,201408,201412
2627288,2627288,14000.0,0,200000,14000.0,0.0,202403,202403
2325007,2325007,709926.47,0,0,678426.47,0.0,201612,201907
2277144,2277144,31580.0,0,0,31580.0,0.0,201609,201609
2034464,2034464,24296.25,0,0,24296.25,0.0,200902,200911
2593439,2593439,38900.0,0,0,38900.0,0.0,202411,202411
2540380,2540380,0.0,972103,0,0.0,0.0,202206,202206
2322591,2322591,566618.98,0,0,438421.36,0.0,201610,201806
2518188,2518188,1049683.45,0,0,1049683.45,0.0,202111,202508
2475326,2475326,4820647.09,0,0,4820647.09,0.0,202012,202410
2133750,2133750,35594.0,0,0,35594.0,0.0,201104,201105
2281935,2281935,3387753.68,0,0,3387753.68,0.0,201809,202212
2698261,2698261,321629.91,0,0,321629.91,0.0,202509,202512
2618814,2618814,0.0,200000,200000,0.0,0.0,,
2206989,2206989,668771.38,0,0,668771.38,0.0,201302,201403
2029691,2029691,661335.63,0,0,640871.64,0.0,200608,201112
2483598,2483598,12670.1,0,0,12670.1,0.0,202104,202207
