investment_code,CODIGO_UNICO,NUM_ANIO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,COD_ESPECIFICA,DES_ESPECIFICA
2589727,2589727,2024,54828.63,55300,0,-9000.0,-9000.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2589727,2589727,2025,28800.0,28800,0,0.0,0.0,2.6.32.2,PARA INSTALACIONES EDUCATIVAS
2589727,2589727,2025,18447.15,18448,0,0.0,0.0,2.6.32.3,ADQUISICION DE EQUIPOS INFORMATICOS Y DE COMUNICACIONES
2589727,2589727,2025,296217.26,371763,1064076,307363.36,280147.01,2.6.71.5,FORMACION Y CAPACITACION
2589727,2589727,2025,45064.27,45065,500000,45163.58,45163.58,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2589727,2589727,2026,0.0,95000,30000,0.0,0.0,2.6.71.5,FORMACION Y CAPACITACION
2154417,2154417,2012,21838.5,22553,0,21838.5,21838.5,2.6.23.2,INFRAESTRUCTURA VIAL
2154417,2154417,2012,6800.0,6800,0,6800.0,6800.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2154417,2154417,2013,3000.0,3000,0,3000.0,3000.0,2.6.23.2,INFRAESTRUCTURA VIAL
2603415,2603415,2023,0.0,7128,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2603415,2603415,2023,0.0,5000,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2603415,2603415,2024,106378.77,106379,0,106379.0,106378.77,2.5.22.1,TRANSFERENCIAS CAPITAL
2603415,2603415,2024,7077.0,7077,0,7077.0,7077.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2603415,2603415,2024,15500.0,21000,0,15500.0,15500.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2603415,2603415,2025,3731.0,6141,0,818.0,3228.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2607046,2607046,2023,15000.0,15000,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2487171,2487171,2021,10789289.07,10832728,8430301,2369926.89,10800226.17,2.6.22.2,INSTALACIONES EDUCATIVAS
2487171,2487171,2022,32435.4,32436,0,10936.0,32436.0,2.6.22.2,INSTALACIONES EDUCATIVAS
2487171,2487171,2023,0.0,2,120371,0.0,0.0,2.6.22.2,INSTALACIONES EDUCATIVAS
2487171,2487171,2023,0.0,4950,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2487171,2487171,2024,926692.0,926692,0,0.0,926692.0,2.6.22.2,INSTALACIONES EDUCATIVAS
2035044,2035044,2009,0.0,68915,0,0.0,0.0,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
2035044,2035044,2009,2250.0,2250,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2035044,2035044,2010,0.0,48915,0,0.0,0.0,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
2035044,2035044,2011,0.0,74167,193706,0.0,0.0,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
2035044,2035044,2012,0.0,12038,0,0.0,0.0,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
2035044,2035044,2013,0.0,1453,0,0.0,0.0,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
2664599,2664599,2024,40000.0,40000,0,40000.0,40000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2046711,2046711,2009,244291.24,244292,0,0.0,0.0,2.6.22.2,INSTALACIONES EDUCATIVAS
2551907,2551907,2022,4400.0,4400,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2111829,2111829,2013,99698.95,428318,100000,129186.15,116496.95,2.6.71.6,OTRAS INVERSIONES INTANGIBLES
2111829,2111829,2013,34824.2,34825,0,34824.2,34824.2,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2111829,2111829,2014,177878.5,401685,0,179940.1,179940.0,2.6.71.6,OTRAS INVERSIONES INTANGIBLES
2586825,2586825,2023,47100.0,47100,0,0.0,0.0,2.6.31.1,ADQUISICION DE VEHICULOS
2586825,2586825,2023,3450.0,3450,0,3450.0,3450.0,2.6.32.1,PARA OFICINA
2586825,2586825,2023,23100.0,23100,0,32250.0,23100.0,2.6.32.3,ADQUISICION DE EQUIPOS INFORMATICOS Y DE COMUNICACIONES
2586825,2586825,2023,39600.0,39600,0,39600.0,39600.0,2.6.61.1,"ADQUISICION DE BIENES AGROPECUARIOS, MINEROS Y OTROS"
2586825,2586825,2023,931162.5,962652,0,924038.54,924038.54,2.6.71.6,OTRAS INVERSIONES INTANGIBLES
2586825,2586825,2023,2500.0,17500,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2586825,2586825,2024,1450.0,1450,0,0.0,0.0,2.6.32.3,ADQUISICION DE EQUIPOS INFORMATICOS Y DE COMUNICACIONES
2586825,2586825,2024,772705.4,818550,400000,418550.0,694691.4,2.6.71.6,OTRAS INVERSIONES INTANGIBLES
2586825,2586825,2025,288000.0,300000,0,0.0,0.0,2.6.32.5,ADQUISICION DE MOBILIARIO Y EQUIPO DE USO AGRICOLA Y PESQUERO
2586825,2586825,2025,986063.0,990523,1082798,580000.0,956063.0,2.6.71.6,OTRAS INVERSIONES INTANGIBLES
2586825,2586825,2026,59860.0,476582,476582,0.0,137120.0,2.6.71.6,OTRAS INVERSIONES INTANGIBLES
2353007,2353007,2017,304042.28,304958,0,0.0,-914.87,2.6.23.2,INFRAESTRUCTURA VIAL
2353007,2353007,2017,10000.0,18130,0,0.0,3000.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2493215,2493215,2023,81611.7,81612,0,8000.0,8000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2493215,2493215,2025,23968.6,23969,0,3000.0,3000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2161509,2161509,2013,11100.0,11100,0,11100.0,11100.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2161509,2161509,2016,209474.29,310613,0,0.0,310478.1,2.6.23.5,AGUA Y SANEAMIENTO
2161509,2161509,2017,109597.0,109597,0,39747.73,39747.73,2.6.23.5,AGUA Y SANEAMIENTO
2108868,2108868,2009,0.0,7992,0,0.0,0.0,2.6.23.4,INFRAESTRUCTURA AGRICOLA
2108868,2108868,2009,15711.0,15711,0,0.0,0.0,2.6.61.1,"ADQUISICION DE BIENES AGROPECUARIOS, MINEROS Y OTROS"
2108868,2108868,2009,2700.0,2700,0,0.0,0.0,2.6.71.6,OTRAS INVERSIONES INTANGIBLES
2108868,2108868,2010,28821.6,28822,0,0.0,0.0,2.6.23.4,INFRAESTRUCTURA AGRICOLA
2315489,2315489,2016,4355.0,67790,0,0.0,0.0,2.6.22.2,INSTALACIONES EDUCATIVAS
2315489,2315489,2016,33210.0,40210,0,33210.0,33210.0,2.6.32.2,PARA INSTALACIONES EDUCATIVAS
2315489,2315489,2016,69110.6,92000,0,70500.0,70500.0,2.6.71.5,FORMACION Y CAPACITACION
2315489,2315489,2017,4200.0,4200,0,0.0,4200.0,2.6.71.5,FORMACION Y CAPACITACION
2315489,2315489,2017,5000.0,5000,0,0.0,5000.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2324087,2324087,2019,12400.0,15500,0,0.0,15500.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2420399,2420399,2018,8000.0,8000,0,8000.0,8000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2687769,2687769,2025,42000.0,42000,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2687769,2687769,2026,0.0,479225,0,0.0,0.0,2.6.23.99,OTRAS ESTRUCTURAS DIVERSAS
2687769,2687769,2026,0.0,33910,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2145613,2145613,2011,215166.92,530425,0,0.0,0.0,2.6.23.2,INFRAESTRUCTURA VIAL
2145613,2145613,2011,9700.0,10500,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2145613,2145613,2011,401.0,10000,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2145613,2145613,2012,322385.99,359755,0,333186.77,333186.77,2.6.23.2,INFRAESTRUCTURA VIAL
2145613,2145613,2012,3608.95,7300,0,5991.0,3608.95,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2145613,2145613,2013,5204.0,38072,0,5204.0,5204.0,2.6.23.2,INFRAESTRUCTURA VIAL
2145613,2145613,2013,0.0,3692,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2145613,2145613,2014,0.0,22126,0,0.0,0.0,2.6.23.2,INFRAESTRUCTURA VIAL
2606568,2606568,2023,0.0,39500,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2606568,2606568,2024,0.0,16250,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2656973,2656973,2025,0.0,42000,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2656973,2656973,2026,477969.02,2143232,0,0.0,477969.02,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
2656973,2656973,2026,42000.0,42000,0,42000.0,42000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2656973,2656973,2026,0.0,43600,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2593697,2593697,2023,73930.15,73931,0,72570.16,69795.15,2.6.22.6,OTROS EDIFICIOS O UNIDADES NO RESIDENCIALES
2593697,2593697,2023,5000.0,5000,0,5000.0,5000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2190234,2190234,2014,750023.2,750024,0,750023.2,750023.2,2.6.22.4,INSTALACIONES SOCIALES Y CULTURALES
2190234,2190234,2014,0.0,3500,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2190234,2190234,2014,18000.0,19050,0,18000.0,18000.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2190234,2190234,2015,0.0,3500,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2190234,2190234,2015,0.0,1050,0,0.0,0.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2627288,2627288,2024,14000.0,40000,0,40000.0,40000.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2325007,2325007,2016,31500.0,31500,0,31500.0,31500.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2325007,2325007,2017,237361.61,614927,0,0.0,237361.61,2.6.22.2,INSTALACIONES EDUCATIVAS
2325007,2325007,2017,31500.0,31500,0,0.0,31500.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2325007,2325007,2017,12352.0,32000,0,32000.0,12352.0,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2325007,2325007,2018,377564.86,377565,0,377564.87,377564.86,2.6.22.2,INSTALACIONES EDUCATIVAS
2325007,2325007,2018,16441.6,19648,0,19648.0,16441.6,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2325007,2325007,2019,3206.4,3207,0,3206.4,3206.4,2.6.81.4,OTROS GASTOS DIVERSOS DE ACTIVOS NO FINANCIEROS
2325007,2325007,2021,0.0,21699,0,0.0,0.0,2.6.22.2,INSTALACIONES EDUCATIVAS
2277144,2277144,2016,31580.0,31580,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2034464,2034464,2009,24296.25,62175,0,0.0,0.0,2.6.23.99,OTRAS ESTRUCTURAS DIVERSAS
2593439,2593439,2023,0.0,38900,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2593439,2593439,2024,38900.0,38900,0,38900.0,38900.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2540380,2540380,2022,0.0,8500,0,0.0,0.0,2.6.81.3,ELABORACION DE EXPEDIENTES TECNICOS
2540380,2540380,2025,0.0,486052,0,0.0,0.0,2.6.23.6,"PLAZUELAS, PARQUES Y JARDINES"
